precio,nombre,calificacion,ciudad,check_in,check_out
COP 327.600,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,1
9,1
Fantástico
98 comentarios",Mariquita,2024-12-19,2024-12-20
COP 924.000,Domus Glamping Guatapé,"Puntuación: 9,4
9,4
Fantástico
88 comentarios","EL PEÑOL, GUATAPÉ",2024-12-19,2024-12-20
COP 354.200,1714 Hotel Boutique Guatapé,"Puntuación: 9,2
9,2
Fantástico
164 comentarios","EL PEÑOL, GUATAPÉ",2024-12-19,2024-12-20
COP 179.200,Hotel Spa Bliss Guatape,"Puntuación: 8,5
8,5
Muy bien
11 comentarios",GUATAPÉ,2024-12-19,2024-12-20
COP 624.000,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,6
8,6
Fabuloso
20 comentarios","MARINILLA, ANTIOQUIA",2024-12-19,2024-12-20
COP 340.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
3 comentarios",GUATAPÉ,2024-12-19,2024-12-20
COP 398.760,"Marina Navegar- El peñol, Guatape","Puntuación: 8,5
8,5
Muy bien
16 comentarios","El peñol, Guatapé",2024-12-19,2024-12-20
COP 302.400,Hotel Omaga El peñol- Guatape,"Puntuación: 10
10
Excepcional
2 comentarios","EL PEÑOL, GUATAPÉ",2024-12-19,2024-12-20
COP 161.000,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,7
7,7
Bien
14 comentarios",GUATAPÉ,2024-12-19,2024-12-20
COP 312.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,8
8,8
Fabuloso
65 comentarios","EL PEÑOL, GUATAPÉ",2024-12-19,2024-12-20
COP 500.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
758 comentarios","EL PEÑOL, GUATAPÉ",2024-12-19,2024-12-20
COP 1.800.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 7,9
7,9
Bien
758 comentarios","EL PEÑOL, GUATAPÉ",2024-12-19,2024-12-20
COP 600.000,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
758 comentarios","EL PEÑOL, GUATAPÉ",2024-12-19,2024-12-20
COP 441.000,Finca La Marina El peñol Guatape,"Puntuación: 7,9
7,9
Bien
758 comentarios","EL PEÑOL, GUATAPÉ",2024-12-19,2024-12-20
COP 1.200.960,Mirador del Lago Hotel,"Puntuación: 9,0
9,0
Fantástico
923 comentarios",EL PEÑOL,2024-12-19,2024-12-20
COP 616.000,Villas Guatapé,"Puntuación: 7,9
7,9
Bien
758 comentarios",El peñol ,2024-12-19,2024-12-20
COP 327.600,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,1
9,1
Fantástico
98 comentarios",Mariquita,2024-12-20,2024-12-21
COP 739.200,Domus Glamping Guatapé,"Puntuación: 9,4
9,4
Fantástico
88 comentarios","EL PEÑOL, GUATAPÉ",2024-12-20,2024-12-21
COP 283.360,1714 Hotel Boutique Guatapé,"Puntuación: 9,2
9,2
Fantástico
164 comentarios","EL PEÑOL, GUATAPÉ",2024-12-20,2024-12-21
COP 176.960,Hotel Spa Bliss Guatape,"Puntuación: 8,5
8,5
Muy bien
11 comentarios",GUATAPÉ,2024-12-20,2024-12-21
COP 601.600,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,6
8,6
Fabuloso
20 comentarios","MARINILLA, ANTIOQUIA",2024-12-20,2024-12-21
COP 304.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
3 comentarios",GUATAPÉ,2024-12-20,2024-12-21
COP 255.200,"Marina Navegar- El peñol, Guatape","Puntuación: 8,5
8,5
Muy bien
16 comentarios","El peñol, Guatapé",2024-12-20,2024-12-21
COP 134.400,Hotel Omaga El peñol- Guatape,"Puntuación: 10
10
Excepcional
2 comentarios","EL PEÑOL, GUATAPÉ",2024-12-20,2024-12-21
COP 151.200,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,7
7,7
Bien
14 comentarios",GUATAPÉ,2024-12-20,2024-12-21
COP 312.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,8
8,8
Fabuloso
65 comentarios","EL PEÑOL, GUATAPÉ",2024-12-20,2024-12-21
COP 440.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
758 comentarios","EL PEÑOL, GUATAPÉ",2024-12-20,2024-12-21
COP 1.600.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 7,9
7,9
Bien
758 comentarios","EL PEÑOL, GUATAPÉ",2024-12-20,2024-12-21
COP 560.000,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
758 comentarios","EL PEÑOL, GUATAPÉ",2024-12-20,2024-12-21
COP 396.000,Finca La Marina El peñol Guatape,"Puntuación: 7,9
7,9
Bien
758 comentarios","EL PEÑOL, GUATAPÉ",2024-12-20,2024-12-21
COP 729.940,Mirador del Lago Hotel,"Puntuación: 9,0
9,0
Fantástico
923 comentarios",EL PEÑOL,2024-12-20,2024-12-21
COP 616.000,Villas Guatapé,"Puntuación: 7,9
7,9
Bien
758 comentarios",El peñol ,2024-12-20,2024-12-21
COP 327.600,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,1
9,1
Fantástico
98 comentarios",Mariquita,2024-12-21,2024-12-22
COP 813.120,Domus Glamping Guatapé,"Puntuación: 9,4
9,4
Fantástico
88 comentarios","EL PEÑOL, GUATAPÉ",2024-12-21,2024-12-22
COP 372.960,1714 Hotel Boutique Guatapé,"Puntuación: 9,2
9,2
Fantástico
164 comentarios","EL PEÑOL, GUATAPÉ",2024-12-21,2024-12-22
COP 176.960,Hotel Spa Bliss Guatape,"Puntuación: 8,5
8,5
Muy bien
11 comentarios",GUATAPÉ,2024-12-21,2024-12-22
COP 601.600,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,6
8,6
Fabuloso
20 comentarios","MARINILLA, ANTIOQUIA",2024-12-21,2024-12-22
COP 304.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
3 comentarios",GUATAPÉ,2024-12-21,2024-12-22
COP 719.200,"Marina Navegar- El peñol, Guatape","Puntuación: 8,5
8,5
Muy bien
16 comentarios","El peñol, Guatapé",2024-12-21,2024-12-22
COP 179.200,Hotel Omaga El peñol- Guatape,"Puntuación: 10
10
Excepcional
2 comentarios","EL PEÑOL, GUATAPÉ",2024-12-21,2024-12-22
COP 151.200,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,7
7,7
Bien
14 comentarios",GUATAPÉ,2024-12-21,2024-12-22
COP 312.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,8
8,8
Fabuloso
65 comentarios","EL PEÑOL, GUATAPÉ",2024-12-21,2024-12-22
COP 440.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
758 comentarios","EL PEÑOL, GUATAPÉ",2024-12-21,2024-12-22
COP 1.600.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 7,9
7,9
Bien
758 comentarios","EL PEÑOL, GUATAPÉ",2024-12-21,2024-12-22
COP 560.000,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
758 comentarios","EL PEÑOL, GUATAPÉ",2024-12-21,2024-12-22
COP 396.000,Finca La Marina El peñol Guatape,"Puntuación: 7,9
7,9
Bien
758 comentarios","EL PEÑOL, GUATAPÉ",2024-12-21,2024-12-22
COP 1.200.960,Mirador del Lago Hotel,"Puntuación: 9,0
9,0
Fantástico
923 comentarios",EL PEÑOL,2024-12-21,2024-12-22
COP 616.000,Villas Guatapé,"Puntuación: 7,9
7,9
Bien
758 comentarios",El peñol ,2024-12-21,2024-12-22
COP 804.080,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,1
9,1
Fantástico
98 comentarios",Mariquita,2024-12-22,2024-12-23
COP 896.000,Domus Glamping Guatapé,"Puntuación: 9,4
9,4
Fantástico
88 comentarios","EL PEÑOL, GUATAPÉ",2024-12-22,2024-12-23
COP 283.360,1714 Hotel Boutique Guatapé,"Puntuación: 9,2
9,2
Fantástico
164 comentarios","EL PEÑOL, GUATAPÉ",2024-12-22,2024-12-23
COP 154.560,Hotel Spa Bliss Guatape,"Puntuación: 8,5
8,5
Muy bien
11 comentarios",GUATAPÉ,2024-12-22,2024-12-23
COP 499.200,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,6
8,6
Fabuloso
20 comentarios","MARINILLA, ANTIOQUIA",2024-12-22,2024-12-23
COP 272.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
3 comentarios",GUATAPÉ,2024-12-22,2024-12-23
COP 319.000,"Marina Navegar- El peñol, Guatape","Puntuación: 8,5
8,5
Muy bien
16 comentarios","El peñol, Guatapé",2024-12-22,2024-12-23
COP 134.400,Hotel Omaga El peñol- Guatape,"Puntuación: 10
10
Excepcional
2 comentarios","EL PEÑOL, GUATAPÉ",2024-12-22,2024-12-23
COP 145.600,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,7
7,7
Bien
14 comentarios",GUATAPÉ,2024-12-22,2024-12-23
COP 312.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,8
8,8
Fabuloso
65 comentarios","EL PEÑOL, GUATAPÉ",2024-12-22,2024-12-23
COP 400.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
758 comentarios","EL PEÑOL, GUATAPÉ",2024-12-22,2024-12-23
COP 1.440.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 7,9
7,9
Bien
758 comentarios","EL PEÑOL, GUATAPÉ",2024-12-22,2024-12-23
COP 480.000,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
758 comentarios","EL PEÑOL, GUATAPÉ",2024-12-22,2024-12-23
COP 352.800,Finca La Marina El peñol Guatape,"Puntuación: 7,9
7,9
Bien
758 comentarios","EL PEÑOL, GUATAPÉ",2024-12-22,2024-12-23
COP 829.480,Mirador del Lago Hotel,"Puntuación: 9,0
9,0
Fantástico
923 comentarios",EL PEÑOL,2024-12-22,2024-12-23
COP 616.000,Villas Guatapé,"Puntuación: 7,9
7,9
Bien
758 comentarios",El peñol ,2024-12-22,2024-12-23
