precio,nombre,calificacion,ciudad,check_in,check_out
COP 327.600,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,1
9,1
Fantástico
98 comentarios",Mariquita,2024-12-21,2024-12-22
COP 813.120,Domus Glamping Guatapé,"Puntuación: 9,4
9,4
Fantástico
88 comentarios","EL PEÑOL, GUATAPÉ",2024-12-21,2024-12-22
COP 372.960,1714 Hotel Boutique Guatapé,"Puntuación: 9,2
9,2
Fantástico
164 comentarios","EL PEÑOL, GUATAPÉ",2024-12-21,2024-12-22
COP 224.280,Hotel Spa Bliss Guatape,"Puntuación: 9,6
9,6
Excepcional
8 comentarios",GUATAPÉ,2024-12-21,2024-12-22
COP 676.800,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,6
8,6
Fabuloso
20 comentarios","MARINILLA, ANTIOQUIA",2024-12-21,2024-12-22
COP 304.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
3 comentarios",GUATAPÉ,2024-12-21,2024-12-22
COP 899.000,"Marina Navegar- El peñol, Guatape","Puntuación: 8,5
8,5
Muy bien
16 comentarios","El peñol, Guatapé",2024-12-21,2024-12-22
COP 179.200,Hotel Omaga El peñol- Guatape,"Puntuación: 10
10
Excepcional
2 comentarios","EL PEÑOL, GUATAPÉ",2024-12-21,2024-12-22
COP 151.200,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,5
7,5
Bien
13 comentarios",GUATAPÉ,2024-12-21,2024-12-22
COP 312.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,8
8,8
Fabuloso
65 comentarios","EL PEÑOL, GUATAPÉ",2024-12-21,2024-12-22
COP 520.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,5
9,5
Excepcional
26 comentarios","EL PEÑOL, GUATAPÉ",2024-12-21,2024-12-22
COP 1.600.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 9,5
9,5
Excepcional
26 comentarios","EL PEÑOL, GUATAPÉ",2024-12-21,2024-12-22
COP 750.000,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 9,5
9,5
Excepcional
26 comentarios","EL PEÑOL, GUATAPÉ",2024-12-21,2024-12-22
COP 495.000,Finca La Marina El peñol Guatape,"Puntuación: 9,5
9,5
Excepcional
26 comentarios","EL PEÑOL, GUATAPÉ",2024-12-21,2024-12-22
COP 1.224.680,Hotel Del Lago,"Puntuación: 7,8
7,8
Bien
484 comentarios","EL PEÑOL, GUATAPÉ",2024-12-21,2024-12-22
COP 804.080,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,1
9,1
Fantástico
98 comentarios",Mariquita,2024-12-22,2024-12-23
COP 896.000,Domus Glamping Guatapé,"Puntuación: 9,4
9,4
Fantástico
88 comentarios","EL PEÑOL, GUATAPÉ",2024-12-22,2024-12-23
COP 283.360,1714 Hotel Boutique Guatapé,"Puntuación: 9,2
9,2
Fantástico
164 comentarios","EL PEÑOL, GUATAPÉ",2024-12-22,2024-12-23
COP 173.880,Hotel Spa Bliss Guatape,"Puntuación: 9,6
9,6
Excepcional
8 comentarios",GUATAPÉ,2024-12-22,2024-12-23
COP 561.600,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,6
8,6
Fabuloso
20 comentarios","MARINILLA, ANTIOQUIA",2024-12-22,2024-12-23
COP 272.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
3 comentarios",GUATAPÉ,2024-12-22,2024-12-23
COP 754.000,"Marina Navegar- El peñol, Guatape","Puntuación: 8,5
8,5
Muy bien
16 comentarios","El peñol, Guatapé",2024-12-22,2024-12-23
COP 134.400,Hotel Omaga El peñol- Guatape,"Puntuación: 10
10
Excepcional
2 comentarios","EL PEÑOL, GUATAPÉ",2024-12-22,2024-12-23
COP 145.600,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,5
7,5
Bien
13 comentarios",GUATAPÉ,2024-12-22,2024-12-23
COP 390.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,8
8,8
Fabuloso
65 comentarios","EL PEÑOL, GUATAPÉ",2024-12-22,2024-12-23
COP 480.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,5
9,5
Excepcional
26 comentarios","EL PEÑOL, GUATAPÉ",2024-12-22,2024-12-23
COP 1.440.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 9,5
9,5
Excepcional
26 comentarios","EL PEÑOL, GUATAPÉ",2024-12-22,2024-12-23
COP 600.000,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 9,5
9,5
Excepcional
26 comentarios","EL PEÑOL, GUATAPÉ",2024-12-22,2024-12-23
COP 441.000,Finca La Marina El peñol Guatape,"Puntuación: 9,5
9,5
Excepcional
26 comentarios","EL PEÑOL, GUATAPÉ",2024-12-22,2024-12-23
COP 734.820,Hotel Del Lago,"Puntuación: 7,8
7,8
Bien
484 comentarios","EL PEÑOL, GUATAPÉ",2024-12-22,2024-12-23
