precio,nombre,calificacion,ciudad,check_in,check_out
COP 439.300,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,2
9,2
Fantástico
101 comentarios",Mariquita,2025-01-22,2025-01-23
COP 933.800,Domus Glamping Guatapé,"Puntuación: 9,4
9,4
Fantástico
88 comentarios","EL PEÑOL, GUATAPÉ",2025-01-22,2025-01-23
COP 322.000,1714 Hotel Boutique Guatapé,"Puntuación: 9,2
9,2
Fantástico
169 comentarios","EL PEÑOL, GUATAPÉ",2025-01-22,2025-01-23
COP 168.000,Hotel Spa Bliss Guatape,"Puntuación: 8,6
8,6
Fabuloso
19 comentarios",GUATAPÉ,2025-01-22,2025-01-23
COP 118.800,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,6
8,6
Fabuloso
20 comentarios","MARINILLA, ANTIOQUIA",2025-01-22,2025-01-23
COP 340.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
5 comentarios",GUATAPÉ,2025-01-22,2025-01-23
COP 319.000,"Marina Navegar- El peñol, Guatape","Puntuación: 8,1
8,1
Muy bien
22 comentarios","El peñol, Guatapé",2025-01-22,2025-01-23
COP 302.400,Hotel Omaga El peñol- Guatape,"Puntuación: 9,0
9,0
Fantástico
4 comentarios","EL PEÑOL, GUATAPÉ",2025-01-22,2025-01-23
COP 168.000,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,7
7,7
Bien
21 comentarios",GUATAPÉ,2025-01-22,2025-01-23
COP 728.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,8
8,8
Fabuloso
77 comentarios","EL PEÑOL, GUATAPÉ",2025-01-22,2025-01-23
COP 650.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
783 comentarios","EL PEÑOL, GUATAPÉ",2025-01-22,2025-01-23
COP 1.400.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 7,9
7,9
Bien
783 comentarios","EL PEÑOL, GUATAPÉ",2025-01-22,2025-01-23
COP 600.000,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
783 comentarios","EL PEÑOL, GUATAPÉ",2025-01-22,2025-01-23
COP 441.000,Finca La Marina El peñol Guatape,"Puntuación: 10
10
Excepcional
1 comentario","EL PEÑOL, GUATAPÉ",2025-01-22,2025-01-23
