precio,nombre,calificacion,competidor,ciudad,check_in,check_out
COP 200.000,Bramasole Hotel Boutique - El Peñol,"Puntuación: 9,0
9,0
Fantástico
12 comentarios",Arvum Hotel Boutique,El peñol,2024-12-20,2024-12-21
COP 100.000,Eden Hotel,"Puntuación: 8,6
8,6
Fabuloso
29 comentarios",Eden Hotel ,El peñol,2024-12-20,2024-12-21
COP 590.000,Hotel La Magdalena Adult Only,"Puntuación: 9,1
9,1
Fantástico
227 comentarios",Hotel La Magdalena Adult Only,"EL PEÑOL, GUATAPÉ",2024-12-20,2024-12-21
COP 304.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
3 comentarios",Hotel Mansión Guatapé,"EL PEÑOL, GUATAPÉ",2024-12-20,2024-12-21
COP 548.380,Finca Santa Maria de las Cañadas,"Puntuación: 9,2
9,2
Fantástico
13 comentarios",Santa Maria de las Aguas  peñol,El peñol,2024-12-20,2024-12-21
COP 754.120,Tau House,"Puntuación: 9,3
9,3
Fantástico
343 comentarios",Tau House,"EL PEÑOL, GUATAPÉ",2024-12-20,2024-12-21
COP 536.800,Vivanti Resort,"Puntuación: 9,0
9,0
Fantástico
98 comentarios",Vivanti Resort,GUATAPÉ,2024-12-20,2024-12-21
COP 744.800,Atma Eco Village,"Puntuación: 8,8
8,8
Fabuloso
110 comentarios",Atma Eco Village,"EL PEÑOL, GUATAPÉ",2024-12-20,2024-12-21
COP 609.120,Bethel Lozana Guatape,"Puntuación: 8,9
8,9
Fabuloso
66 comentarios",Bethel Lozana Guatape,"EL PEÑOL, GUATAPÉ",2024-12-20,2024-12-21
COP 920.000,Bosko,"Puntuación: 9,1
9,1
Fantástico
251 comentarios",Bosko,GUATAPÉ,2024-12-20,2024-12-21
COP 312.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,8
8,8
Fabuloso
65 comentarios",BubbleSky Glamping Guatapé,"EL PEÑOL, GUATAPÉ",2024-12-20,2024-12-21
COP 652.500,Glamping The Mountain,"Puntuación: 9,2
9,2
Fantástico
163 comentarios",Glamping The Mountain,"EL PEÑOL, GUATAPÉ",2024-12-20,2024-12-21
COP 697.960,Ibuku Hotel Guatapé - Chalets,"Puntuación: 8,5
8,5
Muy bien
58 comentarios",Ibuku Hotel Guatapé - Chalets,"EL PEÑOL, GUATAPÉ",2024-12-20,2024-12-21
COP 780.000,La Pausa Hotelbistro,"Puntuación: 9,6
9,6
Excepcional
335 comentarios",La Pausa Hotelbistro,"EL PEÑOL, GUATAPÉ",2024-12-20,2024-12-21
COP 651.000,Levit Glamping - Hotel Guatapé Peñol,"Puntuación: 9,2
9,2
Fantástico
76 comentarios",Levit Glamping - Hotel Guatapé Peñol,"EL PEÑOL, GUATAPÉ",2024-12-20,2024-12-21
