precio,nombre,calificacion,competidor,ciudad,check_in,check_out
COP 180.000,Bramasole Hotel Boutique - El Peñol,"Puntuación: 9,0
9,0
Fantástico
12 comentarios",Arvum Hotel Boutique,El peñol,2025-02-15,2025-02-16
COP 600.000,Eden Hotel,"Puntuación: 8,5
8,5
Muy bien
34 comentarios",Eden Hotel ,El peñol,2025-02-15,2025-02-16
COP 720.000,Hotel La Magdalena Adult Only,"Puntuación: 9,3
9,3
Fantástico
209 comentarios",Hotel La Magdalena Adult Only,"EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 434.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
6 comentarios",Hotel Mansión Guatapé,"EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 517.500,Finca Santa Maria de las Cañadas,"Puntuación: 8,9
8,9
Fabuloso
13 comentarios",Santa Maria de las Aguas  peñol,El peñol,2025-02-15,2025-02-16
COP 1.615.000,Tau House,"Puntuación: 9,4
9,4
Fantástico
359 comentarios",Tau House,"EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 520.760,Vivanti Resort,"Puntuación: 9,0
9,0
Fantástico
117 comentarios",Vivanti Resort,GUATAPÉ,2025-02-15,2025-02-16
COP 1.321.500,Atma Eco Village,"Puntuación: 8,6
8,6
Fabuloso
110 comentarios",Atma Eco Village,"EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 846.000,Bethel Lozana Guatape,"Puntuación: 8,5
8,5
Muy bien
68 comentarios",Bethel Lozana Guatape,"EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 1.397.260,Bosko,"Puntuación: 9,0
9,0
Fantástico
255 comentarios",Bosko,GUATAPÉ,2025-02-15,2025-02-16
COP 650.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,5
9,5
Excepcional
137 comentarios",BubbleSky Glamping Guatapé,"EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 625.000,Glamping The Mountain,"Puntuación: 9,1
9,1
Fantástico
167 comentarios",Glamping The Mountain,"EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 1.128.000,Ibuku Hotel Guatapé - Chalets,"Puntuación: 8,5
8,5
Muy bien
60 comentarios",Ibuku Hotel Guatapé - Chalets,"EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 806.000,La Pausa Hotelbistro,"Puntuación: 9,6
9,6
Excepcional
364 comentarios",La Pausa Hotelbistro,"EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 651.000,Levit Glamping - Hotel Guatapé Peñol,"Puntuación: 9,2
9,2
Fantástico
72 comentarios",Levit Glamping - Hotel Guatapé Peñol,"EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 750.000,Luxé Cabañas,"Puntuación: 8,2
8,2
Muy bien
1.061 comentarios",Luxé Cabañas,"EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 1.292.000,Tau House,"Puntuación: 9,4
9,4
Fantástico
359 comentarios",Tau House,"EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 400.000,The Boato Hotel,"Puntuación: 9,0
9,0
Fantástico
1.111 comentarios",The Boato Hotel,"EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 380.000,El Trebol,"Puntuación: 9,6
9,6
Excepcional
257 comentarios",El Trebol,GUATAPÉ,2025-02-15,2025-02-16
COP 495.000,Finca La Marina El peñol Guatape,"Puntuación: 9,5
9,5
Excepcional
137 comentarios",Glamping la Cepa GUATAPÉ,El peñol,2025-02-15,2025-02-16
COP 774.400,Hotel Pietrasanta,"Puntuación: 9,2
9,2
Fantástico
17 comentarios",Hotel Pietrasanta,GUATAPÉ,2025-02-15,2025-02-16
COP 504.000,Jordan Hotel Boutique,"Puntuación: 9,6
9,6
Excepcional
378 comentarios",Jordan Hotel Boutique,GUATAPÉ,2025-02-15,2025-02-16
COP 651.000,Levit Glamping - Hotel Guatapé Peñol,"Puntuación: 9,2
9,2
Fantástico
72 comentarios",Levit Glamping - Hotel Guatapé Peñol,GUATAPÉ,2025-02-15,2025-02-16
COP 450.000,"Magic View El peñol, Guatapé","Puntuación: 9,5
9,5
Excepcional
137 comentarios","Magic View El peñol, Guatapé",El peñol,2025-02-15,2025-02-16
COP 487.500,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,5
9,5
Excepcional
137 comentarios","San simon glamping, El peñol, Guatape",GUATAPÉ,2025-02-15,2025-02-16
COP 400.000,The Boato Hotel,"Puntuación: 9,0
9,0
Fantástico
1.111 comentarios",The Boato Hotel,GUATAPÉ,2025-02-15,2025-02-16
COP 586.500,Casa De Amigos Hotel Boutique,"Puntuación: 9,4
9,4
Fantástico
168 comentarios",Casa De Amigos Hotel Boutique,Mariquita,2025-02-15,2025-02-16
COP 253.620,Apartamento Cerro Dorado Sur,"Puntuación: 9,1
9,1
Fantástico
28 comentarios",Cerro Dorado,Mariquita,2025-02-15,2025-02-16
COP 560.000,Eco-Glamping Shalom,"Puntuación: 9,3
9,3
Fantástico
42 comentarios",Eco-Glamping Shalom,Mariquita,2025-02-15,2025-02-16
COP 1.012.500,Mágica CASA FINCA de lujo piscina privada wi-fi tv,"Puntuación: 10
10
Excepcional
1 comentario",Finca Rancho de Luigi,Mariquita,2025-02-15,2025-02-16
COP 54.000,ApartaHotel El Balcón del Tolima,"Puntuación: 9,3
9,3
Fantástico
23 comentarios",Glamping Ciudad Perdida Falan,Mariquita,2025-02-15,2025-02-16
COP 418.500,Hotel Boutique Posada Las Trampas,"Puntuación: 9,4
9,4
Fantástico
396 comentarios",Hotel Boutique Posada Las Trampas,Mariquita,2025-02-15,2025-02-16
COP 350.320,Hotel Boutique San Rafael,"Puntuación: 9,0
9,0
Fantástico
29 comentarios",Hotel Boutique San Rafael,Mariquita,2025-02-15,2025-02-16
COP 652.500,Casa Mariquita Hotel by Omeo,"Puntuación: 7,9
7,9
Bien
660 comentarios",Hotel Marqueta,Mariquita,2025-02-15,2025-02-16
COP 540.000,Hotel Refugio Bike,"Puntuación: 9,5
9,5
Excepcional
54 comentarios",Hotel Refugio Bike,Mariquita,2025-02-15,2025-02-16
COP 300.000,La Casona de Sara,"Puntuación: 9,5
9,5
Excepcional
140 comentarios",La Casona de Sara,Mariquita,2025-02-15,2025-02-16
COP 351.000,Waka Hotel Rural,"Puntuación: 8,6
8,6
Fabuloso
224 comentarios",Waka Hotel Rural,Mariquita,2025-02-15,2025-02-16
COP 149.600,Hotel Bambu Guatape,"Puntuación: 8,9
8,9
Fabuloso
208 comentarios",Ayenda Hotel Bambu Guatape,GUATAPÉ,2025-02-15,2025-02-16
COP 262.500,La Madriguera,"Puntuación: 8,7
8,7
Fabuloso
532 comentarios",La Madriguera,GUATAPÉ,2025-02-15,2025-02-16
COP 921.740,Casa Kuaa,"Puntuación: 8,9
8,9
Fabuloso
420 comentarios",Brisas de Guatapé,GUATAPÉ,2025-02-15,2025-02-16
COP 487.500,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,5
9,5
Excepcional
137 comentarios",Glamping con jacuzzi ,GUATAPÉ,2025-02-15,2025-02-16
COP 347.460,Hotel Casa Linda Guatape,"Puntuación: 8,7
8,7
Fabuloso
400 comentarios",Hotel Casa Linda Guatape,GUATAPÉ,2025-02-15,2025-02-16
COP 189.000,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,8
7,8
Bien
22 comentarios",Hotel Stay Guatape a dos cuadras del parque.,GUATAPÉ,2025-02-15,2025-02-16
COP 230.440,Hotel Real Guatapé,"Puntuación: 8,5
8,5
Muy bien
525 comentarios",Hotel Real Guatapé.,GUATAPÉ,2025-02-15,2025-02-16
COP 481.080,MG Hotels & Suites,"Puntuación: 7,9
7,9
Bien
301 comentarios",MG Hotels & Suites,"MARINILLA, ANTIOQUIA",2025-02-15,2025-02-16
COP 389.860,Cabañas tipo glamping cerca al Peñol LUUM,"Puntuación: 9,3
9,3
Fantástico
7 comentarios",Cabañas tipo glamping cerca al peñol LUUM,"MARINILLA, ANTIOQUIA",2025-02-15,2025-02-16
COP 689.000,Movich Hotel Las Lomas,"Puntuación: 8,7
8,7
Fabuloso
2.098 comentarios",Movich Hotel Las Lomas,"MARINILLA, ANTIOQUIA",2025-02-15,2025-02-16
COP 974.020,Cannua Lodge,"Puntuación: 9,8
9,8
Excepcional
68 comentarios",Cannua Lodge,"MARINILLA, ANTIOQUIA",2025-02-15,2025-02-16
COP 360.000,"Magic View El peñol, Guatapé","Puntuación: 9,5
9,5
Excepcional
137 comentarios","Magic View El peñol, Guatapé",El peñol,2025-02-15,2025-02-16
COP 487.500,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,5
9,5
Excepcional
137 comentarios","San simon glamping, El peñol, Guatape",GUATAPÉ,2025-02-15,2025-02-16
COP 625.000,Glamping The Mountain,"Puntuación: 9,1
9,1
Fantástico
167 comentarios",Glamping The Mountain,,2025-02-15,2025-02-16
COP 487.500,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,5
9,5
Excepcional
137 comentarios",Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,EL PEÑOL,2025-02-15,2025-02-16
COP 433.000,Cabañas Refugio Himalaya,"Puntuación: 9,3
9,3
Fantástico
113 comentarios",Cabañas Refugio Himalaya,Guatapé,2025-02-15,2025-02-16
COP 847.400,BubbleSky Glamping Guatapé,"Puntuación: 8,9
8,9
Fabuloso
467 comentarios",BubbleSky Glamping Guatapé,,2025-02-15,2025-02-16
COP 189.000,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,8
7,8
Bien
22 comentarios",Hotel Stay Guatape a dos cuadras del parque,Guatapé,2025-02-15,2025-02-16
COP 180.000,Bramasole Hotel Boutique - El Peñol,"Puntuación: 9,0
9,0
Fantástico
12 comentarios",Bramasole Hotel Boutique - El Peñol,El peñol ,2025-02-15,2025-02-16
COP 149.000,Hotel Las Vegas,"Puntuación: 7,8
7,8
Bien
1.070 comentarios",Hotel Las Vegas,Guatapé,2025-02-15,2025-02-16
COP 276.000,Hotel Nomada,"Puntuación: 8,6
8,6
Fabuloso
719 comentarios",NOMADA HOTEL GUATAPE,Guatapé,2025-02-15,2025-02-16
COP 555.500,Porto Marina Hotel,"Puntuación: 8,9
8,9
Fabuloso
673 comentarios",Hotel porto guatapé,Guatapé,2025-02-15,2025-02-16
COP 360.000,"Magic View El peñol, Guatapé","Puntuación: 9,5
9,5
Excepcional
137 comentarios","Magic View El peñol, Guatapé",El peñol,2025-02-15,2025-02-16
COP 440.000,Finca La Marina El peñol Guatape,"Puntuación: 9,5
9,5
Excepcional
137 comentarios","Marina Navegar- El peñol, Guatape",Guatapé,2025-02-15,2025-02-16
COP 625.000,Glamping The Mountain,"Puntuación: 9,1
9,1
Fantástico
167 comentarios",Glamping The Mountain,"EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 487.500,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,5
9,5
Excepcional
137 comentarios",Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,Guatapé,2025-02-15,2025-02-16
COP 433.000,Cabañas Refugio Himalaya,"Puntuación: 9,3
9,3
Fantástico
113 comentarios",Cabañas Refugio Himalaya,Guatapé,2025-02-15,2025-02-16
COP 487.500,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,5
9,5
Excepcional
137 comentarios",BubbleSky Glamping Guatapé,"EL PEÑOL, GUATAPÉ",2025-02-15,2025-02-16
COP 149.600,Hotel Bambu Guatape,"Puntuación: 8,9
8,9
Fabuloso
208 comentarios",Ayenda Hotel Bambu Guatape,GUATAPÉ,2025-02-15,2025-02-16
COP 304.840,Hermosa casa de campo en GUATAPÉ,"Puntuación: 9,5
9,5
Excepcional
137 comentarios",Hotel Las Guacamayas Guatapé,GUATAPÉ,2025-02-15,2025-02-16
COP 232.400,Hotel Spa Bliss Guatape,"Puntuación: 8,7
8,7
Fabuloso
25 comentarios",Hotel spa bliss guatapé,GUATAPÉ,2025-02-15,2025-02-16
COP 179.400,Hotel brisas de Salazar,"Puntuación: 6,8
6,8
Puntuación
6 comentarios",Hotel Brisas De Guatape,GUATAPÉ,2025-02-15,2025-02-16
COP 150.000,Hotel Portobelo Guatape,"Puntuación: 9,0
9,0
Fantástico
108 comentarios",Hotel Portobelo Guatape,GUATAPÉ,2025-02-15,2025-02-16
COP 149.000,Hotel Las Vegas,"Puntuación: 7,8
7,8
Bien
1.070 comentarios",Hotel Las Vegas,GUATAPÉ,2025-02-15,2025-02-16
COP 301.660,Hotel Guatatur,"Puntuación: 7,9
7,9
Bien
798 comentarios",Hotel Guatatur,GUATAPÉ,2025-02-15,2025-02-16
COP 176.300,Hotel Real Guatapé,"Puntuación: 8,5
8,5
Muy bien
525 comentarios",Hotel Real Guatapé.,GUATAPÉ,2025-02-15,2025-02-16
COP 650.000,Hotel Onsen,"Puntuación: 10
10
Excepcional
1 comentario","San Simon Glamping,El peñol,Guatape, Guatapé (precios actualizados 2024) (booking.com)",Guatapé,2025-02-15,2025-02-16
