precio,nombre,calificacion,competidor,ciudad,check_in,check_out
COP 527.400,Apartamento Cerro Dorado Sur,"Puntuación: 8,9
8,9
Fabuloso
27 comentarios",Cerro Dorado,Mariquita,2024-12-17,2024-12-18
COP 342.000,Hotel Boutique San Rafael,"Puntuación: 9,0
9,0
Fantástico
33 comentarios",Hotel Boutique San Rafael,Mariquita,2024-12-17,2024-12-18
COP 560.000,Eco-Glamping Shalom,"Puntuación: 9,4
9,4
Fantástico
44 comentarios",Eco-Glamping Shalom,Mariquita,2024-12-17,2024-12-18
COP 120.000,Finca Hotel el Rancho de Monchito,"Puntuación: 8,2
8,2
Muy bien
5 comentarios",Finca Rancho de Luigi,Mariquita,2024-12-17,2024-12-18
COP 300.000,Hotel Refugio Bike,"Puntuación: 9,0
9,0
Fantástico
58 comentarios",Hotel Refugio Bike,Mariquita,2024-12-17,2024-12-18
COP 70.000,Hotel OASIS,"Puntuación: 8,2
8,2
Muy bien
849 comentarios",Hotel Marqueta,Mariquita,2024-12-17,2024-12-18
COP 54.000,ApartaHotel El Balcón del Tolima,"Puntuación: 9,4
9,4
Fantástico
18 comentarios",Glamping Ciudad Perdida Falan,Mariquita,2024-12-17,2024-12-18
COP 388.240,Hotel Boutique Posada Las Trampas,"Puntuación: 9,3
9,3
Fantástico
400 comentarios",Hotel Boutique Posada Las Trampas,Mariquita,2024-12-17,2024-12-18
COP 505.820,Casa De Amigos Hotel Boutique,"Puntuación: 9,5
9,5
Excepcional
153 comentarios",Casa De Amigos Hotel Boutique,Mariquita,2024-12-17,2024-12-18
COP 315.660,Cró Hotel Rural,"Puntuación: 8,5
8,5
Muy bien
1.745 comentarios",Waka Hotel Rural,Mariquita,2024-12-17,2024-12-18
COP 250.000,La Casona de Sara,"Puntuación: 9,5
9,5
Excepcional
110 comentarios",La Casona de Sara,Mariquita,2024-12-17,2024-12-18
COP 635.920,Cannua Lodge,"Puntuación: 9,3
9,3
Fantástico
83 comentarios",Cannua Lodge,GUATAPÉ,2024-12-17,2024-12-18
COP 420.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,5
9,5
Excepcional
171 comentarios",Glamping con jacuzzi ,GUATAPÉ,2024-12-17,2024-12-18
COP 477.900,MG Hotels & Suites,"Puntuación: 8,1
8,1
Muy bien
311 comentarios",MG Hotels & Suites,GUATAPÉ,2024-12-17,2024-12-18
COP 576.000,Movich Hotel Las Lomas,"Puntuación: 8,6
8,6
Fabuloso
2.329 comentarios",Movich Hotel Las Lomas,GUATAPÉ,2024-12-17,2024-12-18
COP 631.480,Lagoon Beach Hotel & Spa,"Puntuación: 7,5
7,5
Bien
5.375 comentarios",Hotel Lagoon,GUATAPÉ,2024-12-17,2024-12-18
COP 173.800,Hotel Casa Linda Guatape,"Puntuación: 8,8
8,8
Fabuloso
327 comentarios",Hotel Casa Linda Guatape,GUATAPÉ,2024-12-17,2024-12-18
COP 116.100,NOMADA HOTEL GUATAPE,"Puntuación: 9,2
9,2
Fantástico
91 comentarios",NOMADA HOTEL GUATAPE,GUATAPÉ,2024-12-17,2024-12-18
COP 161.460,Ayenda Hotel Bambu Guatape,"Puntuación: 8,7
8,7
Fabuloso
198 comentarios",Ayenda Hotel Bambu Guatape,GUATAPÉ,2024-12-17,2024-12-18
COP 161.460,Ayenda Hotel Bambu Guatape,"Puntuación: 8,7
8,7
Fabuloso
198 comentarios",Brisas Guatape ,GUATAPÉ,2024-12-17,2024-12-18
COP 251.180,Hotel Real,"Puntuación: 8,7
8,7
Fabuloso
578 comentarios",Hotel Real Guatape ,GUATAPÉ,2024-12-17,2024-12-18
COP 272.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
3 comentarios",Hotel Mansión Guatapé,"EL PEÑOL, GUATAPÉ",2024-12-17,2024-12-18
COP 590.000,Hotel La Magdalena Adult Only,"Puntuación: 9,1
9,1
Fantástico
228 comentarios",Hotel La Magdalena Adult Only,"EL PEÑOL, GUATAPÉ",2024-12-17,2024-12-18
COP 727.660,Tau House,"Puntuación: 9,3
9,3
Fantástico
343 comentarios",Tau House,"EL PEÑOL, GUATAPÉ",2024-12-17,2024-12-18
COP 343.280,Vivanti Resort,"Puntuación: 9,0
9,0
Fantástico
96 comentarios",Vivanti Resort,"EL PEÑOL, GUATAPÉ",2024-12-17,2024-12-18
COP 546.360,Finca Santa Maria de las Cañadas,"Puntuación: 9,2
9,2
Fantástico
13 comentarios",Santa Maria de las Aguas ,"EL PEÑOL, GUATAPÉ",2024-12-17,2024-12-18
COP 400.000,Finca hotel boutique en el peñol,"Puntuación: 9,5
9,5
Excepcional
171 comentarios",Arvum Hotel Boutique,"EL PEÑOL, GUATAPÉ",2024-12-17,2024-12-18
COP 258.440,El Jardín Del Edén,"Puntuación: 8,8
8,8
Fabuloso
335 comentarios",jardin del eden ,"EL PEÑOL, GUATAPÉ",2024-12-17,2024-12-18
COP 761.400,Bethel Lozana Guatape,"Puntuación: 8,9
8,9
Fabuloso
66 comentarios",Bethel Lozana Guatape,"EL PEÑOL, GUATAPÉ",2024-12-17,2024-12-18
COP 228.800,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,8
8,8
Fabuloso
65 comentarios",BubbleSky Glamping Guatapé,"EL PEÑOL, GUATAPÉ",2024-12-17,2024-12-18
COP 504.000,Glamping The Mountain,"Puntuación: 9,2
9,2
Fantástico
163 comentarios",Glamping The Mountain,"EL PEÑOL, GUATAPÉ",2024-12-17,2024-12-18
COP 585.900,Levit Glamping - Hotel Guatapé Peñol,"Puntuación: 9,2
9,2
Fantástico
76 comentarios",Levit Glamping - Hotel Guatapé Peñol,"EL PEÑOL, GUATAPÉ",2024-12-17,2024-12-18
COP 744.800,Atma Eco Village,"Puntuación: 8,8
8,8
Fabuloso
109 comentarios",Atma Eco Village,"EL PEÑOL, GUATAPÉ",2024-12-17,2024-12-18
COP 720.000,Cabaña El peñol Guatape,"Puntuación: 9,5
9,5
Excepcional
171 comentarios",Bosko,"EL PEÑOL, GUATAPÉ",2024-12-17,2024-12-18
COP 571.060,Ibuku Hotel Guatapé - Chalets,"Puntuación: 8,5
8,5
Muy bien
58 comentarios",Ibuku Hotel Guatapé - Chalets,"EL PEÑOL, GUATAPÉ",2024-12-17,2024-12-18
COP 546.980,La Pausa Hotelbistro,"Puntuación: 9,6
9,6
Excepcional
334 comentarios",La Pausa Hotelbistro,"EL PEÑOL, GUATAPÉ",2024-12-17,2024-12-18
COP 349.140,The Boato Hotel,"Puntuación: 9,0
9,0
Fantástico
1.091 comentarios",The Boato Hotel,"EL PEÑOL, GUATAPÉ",2024-12-17,2024-12-18
COP 517.440,Luxé Cabañas,"Puntuación: 8,5
8,5
Muy bien
1.101 comentarios",Luxé Cabañas,"EL PEÑOL, GUATAPÉ",2024-12-17,2024-12-18
