precio,nombre,calificacion,competidor,ciudad,check_in,check_out
COP 170.000,Bramasole Hotel Boutique - El Peñol,"Puntuación: 9,0
9,0
Fantástico
12 comentarios",Arvum Hotel Boutique,El peñol,2025-01-21,2025-01-22
COP 100.000,Eden Hotel,"Puntuación: 8,4
8,4
Muy bien
33 comentarios",Eden Hotel ,El peñol,2025-01-21,2025-01-22
COP 590.000,Hotel La Magdalena Adult Only,"Puntuación: 9,1
9,1
Fantástico
210 comentarios",Hotel La Magdalena Adult Only,"EL PEÑOL, GUATAPÉ",2025-01-21,2025-01-22
COP 340.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
5 comentarios",Hotel Mansión Guatapé,"EL PEÑOL, GUATAPÉ",2025-01-21,2025-01-22
COP 4.173.940,"BASTINAZO ALOHADREAM - LUXURY PREMIUM - DormirDCategoria Condetó en la Mejor Ubicación de la Ciudad, Especial Grupos, Insonorizado, Aire Acondicionado en todas las habitaciones, TV 100"" - El Puerto de Santa María - Reformado de Diseño y Equipado en 2024","Puntuación: 10
10
Excepcional
3 comentarios",Santa Maria de las Aguas  peñol,El peñol,2025-01-21,2025-01-22
COP 1.125.000,Tau House,"Puntuación: 9,3
9,3
Fantástico
357 comentarios",Tau House,"EL PEÑOL, GUATAPÉ",2025-01-21,2025-01-22
COP 361.720,Vivanti Resort,"Puntuación: 9,0
9,0
Fantástico
106 comentarios",Vivanti Resort,GUATAPÉ,2025-01-21,2025-01-22
COP 1.005.480,Atma Eco Village,"Puntuación: 8,8
8,8
Fabuloso
108 comentarios",Atma Eco Village,"EL PEÑOL, GUATAPÉ",2025-01-21,2025-01-22
COP 761.400,Bethel Lozana Guatape,"Puntuación: 8,9
8,9
Fabuloso
67 comentarios",Bethel Lozana Guatape,"EL PEÑOL, GUATAPÉ",2025-01-21,2025-01-22
COP 862.500,Bosko,"Puntuación: 9,1
9,1
Fantástico
256 comentarios",Bosko,GUATAPÉ,2025-01-21,2025-01-22
COP 286.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,8
8,8
Fabuloso
77 comentarios",BubbleSky Glamping Guatapé,"EL PEÑOL, GUATAPÉ",2025-01-21,2025-01-22
COP 580.000,Glamping The Mountain,"Puntuación: 9,2
9,2
Fantástico
166 comentarios",Glamping The Mountain,"EL PEÑOL, GUATAPÉ",2025-01-21,2025-01-22
COP 775.500,Ibuku Hotel Guatapé - Chalets,"Puntuación: 8,5
8,5
Muy bien
58 comentarios",Ibuku Hotel Guatapé - Chalets,"EL PEÑOL, GUATAPÉ",2025-01-21,2025-01-22
COP 741.000,La Pausa Hotelbistro,"Puntuación: 9,6
9,6
Excepcional
354 comentarios",La Pausa Hotelbistro,"EL PEÑOL, GUATAPÉ",2025-01-21,2025-01-22
COP 651.000,Levit Glamping - Hotel Guatapé Peñol,"Puntuación: 9,1
9,1
Fantástico
72 comentarios",Levit Glamping - Hotel Guatapé Peñol,"EL PEÑOL, GUATAPÉ",2025-01-21,2025-01-22
COP 576.000,Luxé Cabañas,"Puntuación: 8,5
8,5
Muy bien
1.081 comentarios",Luxé Cabañas,"EL PEÑOL, GUATAPÉ",2025-01-21,2025-01-22
COP 843.760,Tau House,"Puntuación: 9,3
9,3
Fantástico
357 comentarios",Tau House,"EL PEÑOL, GUATAPÉ",2025-01-21,2025-01-22
COP 470.000,The Boato Hotel,"Puntuación: 9,0
9,0
Fantástico
1.105 comentarios",The Boato Hotel,"EL PEÑOL, GUATAPÉ",2025-01-21,2025-01-22
COP 103.300,El Trebol,"Puntuación: 9,5
9,5
Excepcional
256 comentarios",El Trebol,GUATAPÉ,2025-01-21,2025-01-22
COP 286.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,8
8,8
Fabuloso
77 comentarios",Glamping la Cepa GUATAPÉ,El peñol,2025-01-21,2025-01-22
COP 658.400,Hotel Pietrasanta,"Puntuación: 8,9
8,9
Fabuloso
17 comentarios",Hotel Pietrasanta,GUATAPÉ,2025-01-21,2025-01-22
COP 462.000,Jordan Hotel Boutique,"Puntuación: 9,5
9,5
Excepcional
384 comentarios",Jordan Hotel Boutique,GUATAPÉ,2025-01-21,2025-01-22
COP 520.800,Levit Glamping - Hotel Guatapé Peñol,"Puntuación: 9,1
9,1
Fantástico
72 comentarios",Levit Glamping - Hotel Guatapé Peñol,GUATAPÉ,2025-01-21,2025-01-22
COP 450.000,"Magic View El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
782 comentarios","Magic View El peñol, Guatapé",El peñol,2025-01-21,2025-01-22
