nombre,precio,calificacion,competidor,ciudad,check_in,check_out
Apartamento Cerro Dorado Sur,COP 246.880,"Puntuación: 8,8
8,8
Fabuloso
29 comentarios",Cerro Dorado,Mariquita,2024-11-08,2024-11-09
Hotel Boutique San Rafael,COP 434.120,"Puntuación: 8,8
8,8
Fabuloso
35 comentarios",Hotel Boutique San Rafael,Mariquita,2024-11-08,2024-11-09
Eco-Glamping Shalom,COP 434.120,"Puntuación: 9,4
9,4
Fantástico
45 comentarios",Eco-Glamping Shalom,Mariquita,2024-11-08,2024-11-09
Finca Hotel el Rancho de Monchito,COP 136.800,"Puntuación: 8,2
8,2
Muy bien
5 comentarios",Finca Rancho de Luigi,Mariquita,2024-11-08,2024-11-09
Hotel Refugio Bike,COP 220.000,"Puntuación: 9,0
9,0
Fantástico
61 comentarios",Hotel Refugio Bike,Mariquita,2024-11-08,2024-11-09
Casa Mariquita Hotel by Omeo,COP 818.580,"Puntuación: 8,0
8,0
Muy bien
650 comentarios",Hotel Marqueta,Mariquita,2024-11-08,2024-11-09
El Odin,COP 1.037.400,"Puntuación: 9,3
9,3
Fantástico
4 comentarios",Glamping Ciudad Perdida Falan,Mariquita,2024-11-08,2024-11-09
Hotel Boutique Posada Las Trampas,COP 554.640,"Puntuación: 9,3
9,3
Fantástico
413 comentarios",Hotel Boutique Posada Las Trampas,Mariquita,2024-11-08,2024-11-09
Casa De Amigos Hotel Boutique,COP 505.820,"Puntuación: 9,5
9,5
Excepcional
141 comentarios",Casa De Amigos Hotel Boutique,Mariquita,2024-11-08,2024-11-09
Waka Hotel Rural,COP 374.400,"Puntuación: 8,8
8,8
Fabuloso
259 comentarios",Waka Hotel Rural,Mariquita,2024-11-08,2024-11-09
La Casona de Sara,COP 120.000,"Puntuación: 9,5
9,5
Excepcional
100 comentarios",La Casona de Sara,Mariquita,2024-11-08,2024-11-09
Cannua Lodge,COP 846.920,"Puntuación: 9,3
9,3
Fantástico
93 comentarios",Cannua Lodge,GUATAPÉ,2024-11-08,2024-11-09
Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,COP 118.800,"Puntuación: 8,0
8,0
Muy bien
732 comentarios",Glamping con jacuzzi ,GUATAPÉ,2024-11-08,2024-11-09
MG Hotels & Suites,COP 399.760,"Puntuación: 8,1
8,1
Muy bien
323 comentarios",MG Hotels & Suites,GUATAPÉ,2024-11-08,2024-11-09
Movich Hotel Las Lomas,COP 649.000,"Puntuación: 8,6
8,6
Fabuloso
2.406 comentarios",Movich Hotel Las Lomas,GUATAPÉ,2024-11-08,2024-11-09
Lagoon Beach Hotel & Spa,COP 809.060,"Puntuación: 7,5
7,5
Bien
5.387 comentarios",Hotel Lagoon,GUATAPÉ,2024-11-08,2024-11-09
Hotel Casa Linda Guatape,COP 139.460,"Puntuación: 8,8
8,8
Fabuloso
289 comentarios",Hotel Casa Linda Guatape,GUATAPÉ,2024-11-08,2024-11-09
