precio,nombre,calificacion,competidor,ciudad,check_in,check_out
COP 170.000,Bramasole Hotel Boutique - El Peñol,"Puntuación: 9,0
9,0
Fantástico
12 comentarios",Arvum Hotel Boutique,El peñol,2025-01-20,2025-01-21
COP 100.000,Eden Hotel,"Puntuación: 8,4
8,4
Muy bien
33 comentarios",Eden Hotel ,El peñol,2025-01-20,2025-01-21
COP 590.000,Hotel La Magdalena Adult Only,"Puntuación: 9,1
9,1
Fantástico
210 comentarios",Hotel La Magdalena Adult Only,"EL PEÑOL, GUATAPÉ",2025-01-20,2025-01-21
COP 340.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
5 comentarios",Hotel Mansión Guatapé,"EL PEÑOL, GUATAPÉ",2025-01-20,2025-01-21
COP 4.969.400,"BASTINAZO ALOHADREAM - LUXURY PREMIUM - DormirDCategoria Condetó en la Mejor Ubicación de la Ciudad, Especial Grupos, Insonorizado, Aire Acondicionado en todas las habitaciones, TV 100"" - El Puerto de Santa María - Reformado de Diseño y Equipado en 2024","Puntuación: 10
10
Excepcional
3 comentarios",Santa Maria de las Aguas  peñol,El peñol,2025-01-20,2025-01-21
COP 1.125.000,Tau House,"Puntuación: 9,3
9,3
Fantástico
357 comentarios",Tau House,"EL PEÑOL, GUATAPÉ",2025-01-20,2025-01-21
COP 361.720,Vivanti Resort,"Puntuación: 9,0
9,0
Fantástico
106 comentarios",Vivanti Resort,GUATAPÉ,2025-01-20,2025-01-21
COP 1.005.480,Atma Eco Village,"Puntuación: 8,8
8,8
Fabuloso
108 comentarios",Atma Eco Village,"EL PEÑOL, GUATAPÉ",2025-01-20,2025-01-21
COP 761.400,Bethel Lozana Guatape,"Puntuación: 8,9
8,9
Fabuloso
67 comentarios",Bethel Lozana Guatape,"EL PEÑOL, GUATAPÉ",2025-01-20,2025-01-21
COP 920.000,Bosko,"Puntuación: 9,1
9,1
Fantástico
256 comentarios",Bosko,GUATAPÉ,2025-01-20,2025-01-21
COP 728.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,8
8,8
Fabuloso
76 comentarios",BubbleSky Glamping Guatapé,"EL PEÑOL, GUATAPÉ",2025-01-20,2025-01-21
COP 580.000,Glamping The Mountain,"Puntuación: 9,2
9,2
Fantástico
166 comentarios",Glamping The Mountain,"EL PEÑOL, GUATAPÉ",2025-01-20,2025-01-21
COP 775.500,Ibuku Hotel Guatapé - Chalets,"Puntuación: 8,5
8,5
Muy bien
58 comentarios",Ibuku Hotel Guatapé - Chalets,"EL PEÑOL, GUATAPÉ",2025-01-20,2025-01-21
COP 741.000,La Pausa Hotelbistro,"Puntuación: 9,6
9,6
Excepcional
354 comentarios",La Pausa Hotelbistro,"EL PEÑOL, GUATAPÉ",2025-01-20,2025-01-21
COP 651.000,Levit Glamping - Hotel Guatapé Peñol,"Puntuación: 9,1
9,1
Fantástico
72 comentarios",Levit Glamping - Hotel Guatapé Peñol,"EL PEÑOL, GUATAPÉ",2025-01-20,2025-01-21
COP 576.000,Luxé Cabañas,"Puntuación: 8,5
8,5
Muy bien
1.083 comentarios",Luxé Cabañas,"EL PEÑOL, GUATAPÉ",2025-01-20,2025-01-21
COP 769.500,Tau House,"Puntuación: 9,3
9,3
Fantástico
357 comentarios",Tau House,"EL PEÑOL, GUATAPÉ",2025-01-20,2025-01-21
COP 400.000,The Boato Hotel,"Puntuación: 9,0
9,0
Fantástico
1.106 comentarios",The Boato Hotel,"EL PEÑOL, GUATAPÉ",2025-01-20,2025-01-21
COP 129.140,El Trebol,"Puntuación: 9,5
9,5
Excepcional
256 comentarios",El Trebol,GUATAPÉ,2025-01-20,2025-01-21
COP 728.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,8
8,8
Fabuloso
76 comentarios",Glamping la Cepa GUATAPÉ,El peñol,2025-01-20,2025-01-21
COP 658.400,Hotel Pietrasanta,"Puntuación: 8,9
8,9
Fabuloso
17 comentarios",Hotel Pietrasanta,GUATAPÉ,2025-01-20,2025-01-21
COP 462.000,Jordan Hotel Boutique,"Puntuación: 9,5
9,5
Excepcional
385 comentarios",Jordan Hotel Boutique,GUATAPÉ,2025-01-20,2025-01-21
COP 651.000,Levit Glamping - Hotel Guatapé Peñol,"Puntuación: 9,1
9,1
Fantástico
72 comentarios",Levit Glamping - Hotel Guatapé Peñol,GUATAPÉ,2025-01-20,2025-01-21
COP 450.000,"Magic View El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
781 comentarios","Magic View El peñol, Guatapé",El peñol,2025-01-20,2025-01-21
COP 728.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,8
8,8
Fabuloso
76 comentarios","San simon glamping, El peñol, Guatape",GUATAPÉ,2025-01-20,2025-01-21
COP 266.000,The Boato Hotel,"Puntuación: 9,0
9,0
Fantástico
1.106 comentarios",The Boato Hotel,GUATAPÉ,2025-01-20,2025-01-21
COP 586.500,Casa De Amigos Hotel Boutique,"Puntuación: 9,5
9,5
Excepcional
162 comentarios",Casa De Amigos Hotel Boutique,Mariquita,2025-01-20,2025-01-21
COP 394.400,Apartamento Cerro Dorado Sur,"Puntuación: 8,8
8,8
Fabuloso
28 comentarios",Cerro Dorado,Mariquita,2025-01-20,2025-01-21
COP 560.000,Eco-Glamping Shalom,"Puntuación: 9,4
9,4
Fantástico
43 comentarios",Eco-Glamping Shalom,Mariquita,2025-01-20,2025-01-21
COP 120.000,Finca Hotel el Rancho de Monchito,"Puntuación: 8,5
8,5
Muy bien
6 comentarios",Finca Rancho de Luigi,Mariquita,2025-01-20,2025-01-21
COP 54.000,ApartaHotel El Balcón del Tolima,"Puntuación: 9,3
9,3
Fantástico
21 comentarios",Glamping Ciudad Perdida Falan,Mariquita,2025-01-20,2025-01-21
COP 418.500,Hotel Boutique Posada Las Trampas,"Puntuación: 9,4
9,4
Fantástico
403 comentarios",Hotel Boutique Posada Las Trampas,Mariquita,2025-01-20,2025-01-21
COP 383.160,Hotel Boutique San Rafael,"Puntuación: 8,9
8,9
Fabuloso
29 comentarios",Hotel Boutique San Rafael,Mariquita,2025-01-20,2025-01-21
COP 70.000,Hotel OASIS,"Puntuación: 1,0
1,0
Puntuación
1 comentario",Hotel Marqueta,Mariquita,2025-01-20,2025-01-21
COP 220.000,Hotel Refugio Bike,"Puntuación: 9,1
9,1
Fantástico
55 comentarios",Hotel Refugio Bike,Mariquita,2025-01-20,2025-01-21
COP 250.000,La Casona de Sara,"Puntuación: 9,5
9,5
Excepcional
136 comentarios",La Casona de Sara,Mariquita,2025-01-20,2025-01-21
COP 321.760,Cró Hotel Rural,"Puntuación: 8,5
8,5
Muy bien
1.701 comentarios",Waka Hotel Rural,Mariquita,2025-01-20,2025-01-21
COP 95.680,Hotel Bambu Guatape,"Puntuación: 8,8
8,8
Fabuloso
203 comentarios",Ayenda Hotel Bambu Guatape,GUATAPÉ,2025-01-20,2025-01-21
COP 262.500,La Madriguera,"Puntuación: 8,8
8,8
Fabuloso
548 comentarios",La Madriguera,GUATAPÉ,2025-01-20,2025-01-21
COP 827.780,Casa Kuaa,"Puntuación: 8,9
8,9
Fabuloso
420 comentarios",Brisas de Guatapé,GUATAPÉ,2025-01-20,2025-01-21
COP 650.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
781 comentarios",Glamping con jacuzzi ,GUATAPÉ,2025-01-20,2025-01-21
COP 475.180,Hotel Casa Linda Guatape,"Puntuación: 8,7
8,7
Fabuloso
366 comentarios",Hotel Casa Linda Guatape,GUATAPÉ,2025-01-20,2025-01-21
COP 168.000,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,7
7,7
Bien
21 comentarios",Hotel Stay Guatape a dos cuadras del parque.,GUATAPÉ,2025-01-20,2025-01-21
COP 108.940,Hotel Real Guatapé,"Puntuación: 8,4
8,4
Muy bien
512 comentarios",Hotel Real Guatapé.,GUATAPÉ,2025-01-20,2025-01-21
COP 531.000,MG Hotels & Suites,"Puntuación: 8,1
8,1
Muy bien
306 comentarios",MG Hotels & Suites,"MARINILLA, ANTIOQUIA",2025-01-20,2025-01-21
COP 335.880,Cabañas tipo glamping cerca al Peñol LUUM,"Puntuación: 9,4
9,4
Fantástico
7 comentarios",Cabañas tipo glamping cerca al peñol LUUM,"MARINILLA, ANTIOQUIA",2025-01-20,2025-01-21
COP 760.000,Movich Hotel Las Lomas,"Puntuación: 8,6
8,6
Fabuloso
2.179 comentarios",Movich Hotel Las Lomas,"MARINILLA, ANTIOQUIA",2025-01-20,2025-01-21
COP 949.560,Cannua Lodge,"Puntuación: 9,3
9,3
Fantástico
74 comentarios",Cannua Lodge,"MARINILLA, ANTIOQUIA",2025-01-20,2025-01-21
COP 360.000,"Magic View El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
781 comentarios","Magic View El peñol, Guatapé",El peñol,2025-01-20,2025-01-21
COP 728.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,8
8,8
Fabuloso
76 comentarios","San simon glamping, El peñol, Guatape",GUATAPÉ,2025-01-20,2025-01-21
COP 522.000,Glamping The Mountain,"Puntuación: 9,2
9,2
Fantástico
166 comentarios",Glamping The Mountain,,2025-01-20,2025-01-21
COP 650.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
781 comentarios",Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,EL PEÑOL,2025-01-20,2025-01-21
COP 433.000,Cabañas Refugio Himalaya,"Puntuación: 9,5
9,5
Excepcional
110 comentarios",Cabañas Refugio Himalaya,Guatapé,2025-01-20,2025-01-21
COP 494.900,BubbleSky Glamping Guatapé,"Puntuación: 9,1
9,1
Fantástico
455 comentarios",BubbleSky Glamping Guatapé,,2025-01-20,2025-01-21
COP 168.000,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,7
7,7
Bien
21 comentarios",Hotel Stay Guatape a dos cuadras del parque,Guatapé,2025-01-20,2025-01-21
COP 170.000,Bramasole Hotel Boutique - El Peñol,"Puntuación: 9,0
9,0
Fantástico
12 comentarios",Bramasole Hotel Boutique - El Peñol,El peñol ,2025-01-20,2025-01-21
COP 86.000,Hotel Las Vegas,"Puntuación: 7,9
7,9
Bien
1.082 comentarios",Hotel Las Vegas,Guatapé,2025-01-20,2025-01-21
COP 286.020,Hotel Nomada,"Puntuación: 8,6
8,6
Fabuloso
727 comentarios",NOMADA HOTEL GUATAPE,Guatapé,2025-01-20,2025-01-21
COP 434.300,Porto Marina Hotel,"Puntuación: 8,9
8,9
Fabuloso
632 comentarios",Hotel porto guatapé,Guatapé,2025-01-20,2025-01-21
COP 360.000,"Magic View El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
781 comentarios","Magic View El peñol, Guatapé",El peñol,2025-01-20,2025-01-21
COP 319.000,"Marina Navegar- El peñol, Guatape","Puntuación: 8,1
8,1
Muy bien
22 comentarios","Marina Navegar- El peñol, Guatape",Guatapé,2025-01-20,2025-01-21
COP 522.000,Glamping The Mountain,"Puntuación: 9,2
9,2
Fantástico
166 comentarios",Glamping The Mountain,"EL PEÑOL, GUATAPÉ",2025-01-20,2025-01-21
COP 650.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,4
7,4
Bien
16 comentarios",Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,Guatapé,2025-01-20,2025-01-21
COP 433.000,Cabañas Refugio Himalaya,"Puntuación: 9,5
9,5
Excepcional
110 comentarios",Cabañas Refugio Himalaya,Guatapé,2025-01-20,2025-01-21
COP 728.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,8
8,8
Fabuloso
76 comentarios",BubbleSky Glamping Guatapé,"EL PEÑOL, GUATAPÉ",2025-01-20,2025-01-21
COP 89.000,Hotel Bambu Guatape,"Puntuación: 8,8
8,8
Fabuloso
203 comentarios",Ayenda Hotel Bambu Guatape,GUATAPÉ,2025-01-20,2025-01-21
COP 86.000,Hotel Las Vegas,"Puntuación: 7,9
7,9
Bien
1.082 comentarios",Hotel Las Guacamayas Guatapé,GUATAPÉ,2025-01-20,2025-01-21
COP 168.000,Hotel Spa Bliss Guatape,"Puntuación: 8,6
8,6
Fabuloso
18 comentarios",Hotel spa bliss guatapé,GUATAPÉ,2025-01-20,2025-01-21
COP 150.000,Hotel brisas de Salazar,"Puntuación: 6,7
6,7
Puntuación
3 comentarios",Hotel Brisas De Guatape,GUATAPÉ,2025-01-20,2025-01-21
