precio,nombre,calificacion,competidor,ciudad,check_in,check_out
COP 190.000,Bramasole Hotel Boutique - El Peñol,"Puntuación: 8,9
8,9
Fabuloso
11 comentarios",Arvum Hotel Boutique,El peñol,2024-11-26,2024-11-27
COP 100.000,Eden Hotel,"Puntuación: 8,6
8,6
Fabuloso
29 comentarios",Eden Hotel ,El peñol,2024-11-26,2024-11-27
COP 590.000,Hotel La Magdalena Adult Only,"Puntuación: 9,1
9,1
Fantástico
238 comentarios",Hotel La Magdalena Adult Only,"EL PEÑOL, GUATAPÉ",2024-11-26,2024-11-27
COP 450.000,Hotel Hobbit el peñol Guatapé,"Puntuación: 7,9
7,9
Bien
3.224 comentarios",Hotel Mansión Guatapé,"EL PEÑOL, GUATAPÉ",2024-11-26,2024-11-27
COP 552.600,Finca Santa Maria de las Cañadas,"Puntuación: 9,2
9,2
Fantástico
13 comentarios",Santa Maria de las Aguas  peñol,El peñol,2024-11-26,2024-11-27
COP 720.000,Cabaña El peñol Guatape,"Puntuación: 7,9
7,9
Bien
3.224 comentarios",Tau House,"EL PEÑOL, GUATAPÉ",2024-11-26,2024-11-27
COP 592.400,Vivanti Resort,"Puntuación: 9,0
9,0
Fantástico
93 comentarios",Vivanti Resort,GUATAPÉ,2024-11-26,2024-11-27
COP 651.700,Atma Eco Village,"Puntuación: 8,8
8,8
Fabuloso
110 comentarios",Atma Eco Village,"EL PEÑOL, GUATAPÉ",2024-11-26,2024-11-27
COP 418.780,Bethel Lozana Guatape,"Puntuación: 8,9
8,9
Fabuloso
65 comentarios",Bethel Lozana Guatape,"EL PEÑOL, GUATAPÉ",2024-11-26,2024-11-27
COP 1.500.000,Bosko,"Puntuación: 9,1
9,1
Fantástico
251 comentarios",Bosko,GUATAPÉ,2024-11-26,2024-11-27
COP 208.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,9
8,9
Fabuloso
61 comentarios",BubbleSky Glamping Guatapé,"EL PEÑOL, GUATAPÉ",2024-11-26,2024-11-27
COP 468.000,Glamping The Mountain,"Puntuación: 9,2
9,2
Fantástico
160 comentarios",Glamping The Mountain,"EL PEÑOL, GUATAPÉ",2024-11-26,2024-11-27
COP 761.400,Ibuku Hotel Guatapé - Chalets,"Puntuación: 8,5
8,5
Muy bien
58 comentarios",Ibuku Hotel Guatapé - Chalets,"EL PEÑOL, GUATAPÉ",2024-11-26,2024-11-27
COP 482.640,La Pausa Hotelbistro,"Puntuación: 9,6
9,6
Excepcional
331 comentarios",La Pausa Hotelbistro,"EL PEÑOL, GUATAPÉ",2024-11-26,2024-11-27
COP 455.700,Levit Glamping - Hotel Guatapé Peñol,"Puntuación: 9,2
9,2
Fantástico
78 comentarios",Levit Glamping - Hotel Guatapé Peñol,"EL PEÑOL, GUATAPÉ",2024-11-26,2024-11-27
COP 220.400,"Cabañas Navegar- El peñol, Guatape","Puntuación: 8,3
8,3
Muy bien
14 comentarios",Luxé Cabañas,"EL PEÑOL, GUATAPÉ",2024-11-26,2024-11-27
COP 720.000,Cabaña El peñol Guatape,"Puntuación: 7,9
7,9
Bien
3.224 comentarios",Tau House,"EL PEÑOL, GUATAPÉ",2024-11-26,2024-11-27
COP 285.000,The Boato Hotel,"Puntuación: 9,0
9,0
Fantástico
1.092 comentarios",The Boato Hotel,"EL PEÑOL, GUATAPÉ",2024-11-26,2024-11-27
COP 245.000,El Trebol,"Puntuación: 9,5
9,5
Excepcional
255 comentarios",El Trebol,GUATAPÉ,2024-11-26,2024-11-27
COP 208.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,9
8,9
Fabuloso
61 comentarios",Glamping la Cepa GUATAPÉ,El peñol,2024-11-26,2024-11-27
COP 809.200,Hotel Pietrasanta,"Puntuación: 8,9
8,9
Fabuloso
17 comentarios",Hotel Pietrasanta,GUATAPÉ,2024-11-26,2024-11-27
COP 419.040,Jordan Hotel Boutique,"Puntuación: 9,5
9,5
Excepcional
388 comentarios",Jordan Hotel Boutique,GUATAPÉ,2024-11-26,2024-11-27
COP 455.700,Levit Glamping - Hotel Guatapé Peñol,"Puntuación: 9,2
9,2
Fantástico
78 comentarios",Levit Glamping - Hotel Guatapé Peñol,GUATAPÉ,2024-11-26,2024-11-27
COP 450.000,"Magic View El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
3.224 comentarios","Magic View El peñol, Guatapé",El peñol,2024-11-26,2024-11-27
COP 208.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,9
8,9
Fabuloso
61 comentarios","San simon glamping, El peñol, Guatape",GUATAPÉ,2024-11-26,2024-11-27
COP 285.000,The Boato Hotel,"Puntuación: 9,0
9,0
Fantástico
1.092 comentarios",The Boato Hotel,GUATAPÉ,2024-11-26,2024-11-27
COP 550.800,Casa De Amigos Hotel Boutique,"Puntuación: 9,4
9,4
Fantástico
145 comentarios",Casa De Amigos Hotel Boutique,Mariquita,2024-11-26,2024-11-27
COP 237.100,Apartamento Cerro Dorado Sur,"Puntuación: 8,9
8,9
Fabuloso
27 comentarios",Cerro Dorado,Mariquita,2024-11-26,2024-11-27
COP 560.000,Eco-Glamping Shalom,"Puntuación: 9,5
9,5
Excepcional
43 comentarios",Eco-Glamping Shalom,Mariquita,2024-11-26,2024-11-27
COP 120.000,Finca Hotel el Rancho de Monchito,"Puntuación: 8,2
8,2
Muy bien
5 comentarios",Finca Rancho de Luigi,Mariquita,2024-11-26,2024-11-27
COP 60.000,ApartaHotel El Balcón del Tolima,"Puntuación: 9,4
9,4
Fantástico
18 comentarios",Glamping Ciudad Perdida Falan,Mariquita,2024-11-26,2024-11-27
COP 554.640,Hotel Boutique Posada Las Trampas,"Puntuación: 9,3
9,3
Fantástico
406 comentarios",Hotel Boutique Posada Las Trampas,Mariquita,2024-11-26,2024-11-27
COP 378.000,Hotel Boutique San Rafael,"Puntuación: 9,0
9,0
Fantástico
33 comentarios",Hotel Boutique San Rafael,Mariquita,2024-11-26,2024-11-27
COP 70.000,Hotel OASIS,"Puntuación: 8,7
8,7
Fabuloso
370 comentarios",Hotel Marqueta,Mariquita,2024-11-26,2024-11-27
COP 220.000,Hotel Refugio Bike,"Puntuación: 9,0
9,0
Fantástico
58 comentarios",Hotel Refugio Bike,Mariquita,2024-11-26,2024-11-27
COP 250.000,La Casona de Sara,"Puntuación: 9,5
9,5
Excepcional
105 comentarios",La Casona de Sara,Mariquita,2024-11-26,2024-11-27
COP 292.500,Waka Hotel Rural,"Puntuación: 8,8
8,8
Fabuloso
257 comentarios",Waka Hotel Rural,Mariquita,2024-11-26,2024-11-27
COP 185.380,Ayenda Hotel Bambu Guatape,"Puntuación: 8,7
8,7
Fabuloso
197 comentarios",Ayenda Hotel Bambu Guatape,GUATAPÉ,2024-11-26,2024-11-27
COP 203.180,La Madriguera,"Puntuación: 8,8
8,8
Fabuloso
566 comentarios",La Madriguera,GUATAPÉ,2024-11-26,2024-11-27
COP 110.000,Hotel Brisas De Guatape,"Puntuación: 8,7
8,7
Fabuloso
170 comentarios",Brisas de Guatapé,GUATAPÉ,2024-11-26,2024-11-27
COP 378.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
3.224 comentarios",Glamping con jacuzzi ,GUATAPÉ,2024-11-26,2024-11-27
COP 113.560,Hotel Casa Linda Guatape,"Puntuación: 8,8
8,8
Fabuloso
303 comentarios",Hotel Casa Linda Guatape,GUATAPÉ,2024-11-26,2024-11-27
