precio,nombre,calificacion,competidor,ciudad,check_in,check_out
COP 190.000,Bramasole Hotel Boutique - El Peñol,"Puntuación: 8,9
8,9
Fabuloso
11 comentarios",Arvum Hotel Boutique,El peñol,2024-12-02,2024-12-03
COP 100.000,Eden Hotel,"Puntuación: 8,6
8,6
Fabuloso
29 comentarios",Eden Hotel ,El peñol,2024-12-02,2024-12-03
COP 590.000,Hotel La Magdalena Adult Only,"Puntuación: 9,1
9,1
Fantástico
236 comentarios",Hotel La Magdalena Adult Only,"EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
COP 230.000,Hobbit Hotel el peñol Guatapé,"Puntuación: 8,4
8,4
Muy bien
80 comentarios",Hotel Mansión Guatapé,"EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
COP 558.780,Finca Santa Maria de las Cañadas,"Puntuación: 9,2
9,2
Fantástico
13 comentarios",Santa Maria de las Aguas  peñol,El peñol,2024-12-02,2024-12-03
COP 661.500,Tau House,"Puntuación: 9,3
9,3
Fantástico
342 comentarios",Tau House,"EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
COP 505.680,Vivanti Resort,"Puntuación: 9,0
9,0
Fantástico
95 comentarios",Vivanti Resort,GUATAPÉ,2024-12-02,2024-12-03
COP 651.700,Atma Eco Village,"Puntuación: 8,8
8,8
Fabuloso
111 comentarios",Atma Eco Village,"EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
COP 761.400,Bethel Lozana Guatape,"Puntuación: 8,9
8,9
Fabuloso
66 comentarios",Bethel Lozana Guatape,"EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
COP 1.680.000,Bosko,"Puntuación: 9,1
9,1
Fantástico
250 comentarios",Bosko,GUATAPÉ,2024-12-02,2024-12-03
COP 208.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,9
8,9
Fabuloso
62 comentarios",BubbleSky Glamping Guatapé,"EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
COP 486.000,Glamping The Mountain,"Puntuación: 9,2
9,2
Fantástico
160 comentarios",Glamping The Mountain,"EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
COP 837.420,Ibuku Hotel Guatapé - Chalets,"Puntuación: 8,5
8,5
Muy bien
58 comentarios",Ibuku Hotel Guatapé - Chalets,"EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
COP 643.500,La Pausa Hotelbistro,"Puntuación: 9,6
9,6
Excepcional
331 comentarios",La Pausa Hotelbistro,"EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
COP 455.700,Levit Glamping - Hotel Guatapé Peñol,"Puntuación: 9,2
9,2
Fantástico
77 comentarios",Levit Glamping - Hotel Guatapé Peñol,"EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
COP 266.800,"Cabañas Navegar- El peñol, Guatape","Puntuación: 8,3
8,3
Muy bien
14 comentarios",Luxé Cabañas,"EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
COP 661.500,Tau House,"Puntuación: 9,3
9,3
Fantástico
342 comentarios",Tau House,"EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
COP 336.000,The Boato Hotel,"Puntuación: 9,0
9,0
Fantástico
1.090 comentarios",The Boato Hotel,"EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
COP 380.000,El Trebol,"Puntuación: 9,5
9,5
Excepcional
255 comentarios",El Trebol,GUATAPÉ,2024-12-02,2024-12-03
COP 208.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,9
8,9
Fabuloso
62 comentarios",Glamping la Cepa GUATAPÉ,El peñol,2024-12-02,2024-12-03
COP 783.000,Hotel Pietrasanta,"Puntuación: 8,9
8,9
Fabuloso
17 comentarios",Hotel Pietrasanta,GUATAPÉ,2024-12-02,2024-12-03
COP 314.160,Jordan Hotel Boutique,"Puntuación: 9,5
9,5
Excepcional
390 comentarios",Jordan Hotel Boutique,GUATAPÉ,2024-12-02,2024-12-03
COP 455.700,Levit Glamping - Hotel Guatapé Peñol,"Puntuación: 9,2
9,2
Fantástico
77 comentarios",Levit Glamping - Hotel Guatapé Peñol,GUATAPÉ,2024-12-02,2024-12-03
COP 450.000,"Magic View El peñol, Guatapé","Puntuación: 8,4
8,4
Muy bien
80 comentarios","Magic View El peñol, Guatapé",El peñol,2024-12-02,2024-12-03
COP 208.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,9
8,9
Fabuloso
62 comentarios","San simon glamping, El peñol, Guatape",GUATAPÉ,2024-12-02,2024-12-03
COP 336.000,The Boato Hotel,"Puntuación: 9,0
9,0
Fantástico
1.090 comentarios",The Boato Hotel,GUATAPÉ,2024-12-02,2024-12-03
COP 523.260,Casa De Amigos Hotel Boutique,"Puntuación: 9,5
9,5
Excepcional
146 comentarios",Casa De Amigos Hotel Boutique,Mariquita,2024-12-02,2024-12-03
COP 535.660,Apartamento Cerro Dorado Sur,"Puntuación: 8,9
8,9
Fabuloso
27 comentarios",Cerro Dorado,Mariquita,2024-12-02,2024-12-03
COP 392.000,Eco-Glamping Shalom,"Puntuación: 9,4
9,4
Fantástico
44 comentarios",Eco-Glamping Shalom,Mariquita,2024-12-02,2024-12-03
COP 120.000,Finca Hotel el Rancho de Monchito,"Puntuación: 8,2
8,2
Muy bien
5 comentarios",Finca Rancho de Luigi,Mariquita,2024-12-02,2024-12-03
COP 60.000,ApartaHotel El Balcón del Tolima,"Puntuación: 9,4
9,4
Fantástico
18 comentarios",Glamping Ciudad Perdida Falan,Mariquita,2024-12-02,2024-12-03
COP 388.240,Hotel Boutique Posada Las Trampas,"Puntuación: 9,3
9,3
Fantástico
406 comentarios",Hotel Boutique Posada Las Trampas,Mariquita,2024-12-02,2024-12-03
COP 306.000,Hotel Boutique San Rafael,"Puntuación: 9,0
9,0
Fantástico
33 comentarios",Hotel Boutique San Rafael,Mariquita,2024-12-02,2024-12-03
COP 90.000,Hotel OASIS,"Puntuación: 10
10
Excepcional
1 comentario",Hotel Marqueta,Mariquita,2024-12-02,2024-12-03
