nombre,precio,calificacion,competidor,ciudad,check_in,check_out
Apartamento Cerro Dorado Sur,COP 227.380,"Puntuación: 8,8
8,8
Fabuloso
29 comentarios",Cerro Dorado,Mariquita,2024-11-11,2024-11-12
Hotel Boutique San Rafael,COP 306.000,"Puntuación: 8,9
8,9
Fabuloso
34 comentarios",Hotel Boutique San Rafael,Mariquita,2024-11-11,2024-11-12
Eco-Glamping Shalom,COP 80.000,"Puntuación: 9,4
9,4
Fantástico
45 comentarios",Eco-Glamping Shalom,Mariquita,2024-11-11,2024-11-12
Finca Hotel el Rancho de Monchito,COP 136.800,"Puntuación: 8,2
8,2
Muy bien
5 comentarios",Finca Rancho de Luigi,Mariquita,2024-11-11,2024-11-12
Hotel Refugio Bike,COP 770.000,"Puntuación: 9,0
9,0
Fantástico
60 comentarios",Hotel Refugio Bike,Mariquita,2024-11-11,2024-11-12
Casa Mariquita Hotel by Omeo,COP 736.080,"Puntuación: 8,0
8,0
Muy bien
650 comentarios",Hotel Marqueta,Mariquita,2024-11-11,2024-11-12
ApartaHotel El Balcón del Tolima,COP 60.000,"Puntuación: 9,4
9,4
Fantástico
18 comentarios",Glamping Ciudad Perdida Falan,Mariquita,2024-11-11,2024-11-12
Hotel Boutique Posada Las Trampas,COP 663.880,"Puntuación: 9,3
9,3
Fantástico
411 comentarios",Hotel Boutique Posada Las Trampas,Mariquita,2024-11-11,2024-11-12
Casa De Amigos Hotel Boutique,COP 470.940,"Puntuación: 9,5
9,5
Excepcional
142 comentarios",Casa De Amigos Hotel Boutique,Mariquita,2024-11-11,2024-11-12
Waka Hotel Rural,COP 130.000,"Puntuación: 8,8
8,8
Fabuloso
259 comentarios",Waka Hotel Rural,Mariquita,2024-11-11,2024-11-12
La Casona de Sara,COP 350.000,"Puntuación: 9,5
9,5
Excepcional
101 comentarios",La Casona de Sara,Mariquita,2024-11-11,2024-11-12
Cannua Lodge,COP 796.720,"Puntuación: 9,3
9,3
Fantástico
92 comentarios",Cannua Lodge,GUATAPÉ,2024-11-11,2024-11-12
